"read_counts","cepa","library"
56697,"NZ_CP091195.1","SRR12893565"
9976,"NZ_CP092368.1","SRR12893565"
121073,"NZ_CP092526.1","SRR12893565"
101225,"NZ_CP096925.1","SRR12893565"
101222,"NZ_CP096926.1","SRR12893565"
52896,"NZ_CP101657.1","SRR12893565"
43004,"NZ_CP110359.1","SRR12893565"
8471,"NZ_HG810405.1","SRR12893565"
276361,"NZ_OW370537.1","SRR12893565"
92215,"NZ_OW370567.1","SRR12893565"
109595,"NC_010981.1","SRR12893566"
8512,"NC_018267.1","SRR12893566"
41607,"NZ_AP013028.1","SRR12893566"
40962,"NZ_CP015510.2","SRR12893566"
115065,"NZ_CP021120.1","SRR12893566"
2475326,"NZ_CP031221.1","SRR12893566"
22324,"NZ_CP034333.1","SRR12893566"
97992,"NZ_CP034334.1","SRR12893566"
97995,"NZ_CP034335.1","SRR12893566"
51196,"NZ_CP037426.1","SRR12893566"
57278,"NZ_CP041215.1","SRR12893566"
2466473,"NZ_CP041923.1","SRR12893566"
2477286,"NZ_CP041924.1","SRR12893566"
47100,"NZ_CP042444.1","SRR12893566"
47095,"NZ_CP042445.1","SRR12893566"
47100,"NZ_CP042446.1","SRR12893566"
59866,"NZ_CP042904.1","SRR12893566"
30665,"NZ_CP046577.1","SRR12893566"
14390,"NZ_CP046578.1","SRR12893566"
9323,"NZ_CP046579.1","SRR12893566"
8970,"NZ_CP046580.1","SRR12893566"
47192,"NZ_CP046921.1","SRR12893566"
47192,"NZ_CP046922.1","SRR12893566"
47040,"NZ_CP046923.1","SRR12893566"
47078,"NZ_CP046924.1","SRR12893566"
47100,"NZ_CP046925.1","SRR12893566"
379797,"NZ_CP048818.1","SRR12893566"
379168,"NZ_CP048819.1","SRR12893566"
378121,"NZ_CP048820.1","SRR12893566"
22332,"NZ_CP050521.1","SRR12893566"
44010,"NZ_CP051156.1","SRR12893566"
53058,"NZ_CP051157.1","SRR12893566"
405976,"NZ_CP051264.2","SRR12893566"
405869,"NZ_CP051265.2","SRR12893566"
365025,"NZ_CP051266.2","SRR12893566"
406110,"NZ_CP051608.1","SRR12893566"
50825,"NZ_CP054557.1","SRR12893566"
98280,"NZ_CP067976.1","SRR12893566"
47891,"NZ_CP069052.1","SRR12893566"
48882,"NZ_CP069053.1","SRR12893566"
97995,"NZ_CP069054.1","SRR12893566"
46643,"NZ_CP069055.1","SRR12893566"
49115,"NZ_CP069060.1","SRR12893566"
51461,"NZ_CP072012.1","SRR12893566"
47100,"NZ_CP072666.1","SRR12893566"
47100,"NZ_CP072667.1","SRR12893566"
47100,"NZ_CP072668.1","SRR12893566"
47100,"NZ_CP072669.1","SRR12893566"
47100,"NZ_CP072670.1","SRR12893566"
47100,"NZ_CP072671.1","SRR12893566"
47100,"NZ_CP072672.1","SRR12893566"
46417,"NZ_CP076228.1","SRR12893566"
2475354,"NZ_CP080546.1","SRR12893566"
84552,"NZ_CP084693.1","SRR12893566"
97042,"NZ_CP084694.1","SRR12893566"
114425,"NZ_CP087954.1","SRR12893566"
47100,"NZ_CP090948.1","SRR12893566"
55357,"NZ_CP091195.1","SRR12893566"
9796,"NZ_CP092368.1","SRR12893566"
116536,"NZ_CP092526.1","SRR12893566"
98405,"NZ_CP096925.1","SRR12893566"
98421,"NZ_CP096926.1","SRR12893566"
51576,"NZ_CP101657.1","SRR12893566"
42632,"NZ_CP110359.1","SRR12893566"
